date,dr007,r007,ncd_1y,cgb_10y
2025-03-07,2.0288,2.2759,2.1493,2.6633
2025-03-10,2.0313,2.2882,2.1488,2.6657
2025-03-11,2.0336,2.2977,2.1482,2.6681
2025-03-12,2.0357,2.3043,2.1474,2.6704
2025-03-13,2.0378,2.3078,2.1466,2.6726
2025-03-14,2.0396,2.3082,2.1456,2.6747
2025-03-17,2.0413,2.3055,2.1445,2.6768
2025-03-18,2.0429,2.2998,2.1432,2.6788
2025-03-19,2.0443,2.2914,2.1419,2.6806
2025-03-20,2.0456,2.2804,2.1404,2.6825
2025-03-21,2.0467,2.2672,2.1388,2.6842
2025-03-24,2.0476,2.2521,2.1371,2.6858
2025-03-25,2.0484,2.2355,2.1352,2.6874
2025-03-26,2.049,2.2178,2.1333,2.6889
2025-03-27,2.0495,2.1995,2.1312,2.6902
2025-03-28,2.0498,2.2186,2.129,2.6915
2025-03-31,2.05,2.2371,2.1267,2.6927
2025-04-01,2.05,2.2545,2.1243,2.6938
2025-04-02,2.0498,2.2704,2.1218,2.6949
2025-04-03,2.0495,2.2844,2.1191,2.6958
2025-04-04,2.049,2.2961,2.1164,2.6966
2025-04-07,2.0484,2.3053,2.1136,2.6974
2025-04-08,2.0476,2.3117,2.1106,2.698
2025-04-09,2.0467,2.3152,2.1076,2.6986
2025-04-10,2.0456,2.3156,2.1044,2.6991
2025-04-11,2.0443,2.3128,2.1012,2.6994
2025-04-14,2.0429,2.307,2.0979,2.6997
2025-04-15,2.0413,2.2983,2.0944,2.6999
2025-04-16,2.0396,2.2867,2.0909,2.7
2025-04-17,2.0378,2.2726,2.0873,2.7
2025-04-18,2.0357,2.2563,2.0836,2.6999
2025-04-21,2.0336,2.2381,2.0798,2.6997
2025-04-22,2.0313,2.2184,2.076,2.6994
2025-04-23,2.0288,2.1976,2.072,2.699
2025-04-24,2.0262,2.1762,2.068,2.6985
2025-04-25,2.0235,2.1922,2.0639,2.698
2025-04-28,2.0206,2.2077,2.0597,2.6973
2025-04-29,2.0175,2.222,2.0555,2.6965
2025-04-30,2.0144,2.2349,2.0512,2.6957
2025-05-01,2.0111,2.2459,2.0468,2.6947
2025-05-02,2.0076,2.2547,2.0424,2.6937
2025-05-05,2.0041,2.261,2.0379,2.6926
2025-05-06,2.0004,2.2645,2.0334,2.6914
2025-05-07,1.9966,2.2651,2.0288,2.6901
2025-05-08,1.9926,2.2626,2.0241,2.6887
2025-05-09,1.9886,2.2571,2.0194,2.6872
2025-05-12,1.9844,2.2485,2.0147,2.6856
2025-05-13,1.9801,2.237,2.0099,2.684
2025-05-14,1.9757,2.2227,2.0051,2.6822
2025-05-15,1.9711,2.206,2.0003,2.6804
2025-05-16,1.9665,2.187,1.9954,2.6785
2025-05-19,1.9618,2.1662,1.9905,2.6765
2025-05-20,1.9569,2.144,1.9855,2.6745
2025-05-21,1.952,2.1208,1.9806,2.6723
2025-05-22,1.9469,2.0969,1.9756,2.6701
2025-05-23,1.9418,2.1106,1.9706,2.6678
2025-05-26,1.9366,2.1237,1.9656,2.6654
2025-05-27,1.9313,2.1358,1.9606,2.663
2025-05-28,1.9259,2.1464,1.9556,2.6605
2025-05-29,1.9204,2.1553,1.9505,2.6579
2025-05-30,1.9149,2.162,1.9455,2.6552
2025-06-02,1.9093,2.1662,1.9405,2.6525
2025-06-03,1.9036,2.1677,1.9355,2.6497
2025-06-04,1.8978,2.1664,1.9305,2.6469
2025-06-05,1.892,2.162,1.9255,2.644
2025-06-06,1.8862,2.1547,1.9205,2.641
2025-06-09,1.8802,2.1444,1.9155,2.638
2025-06-10,1.8743,2.1312,1.9106,2.6349
2025-06-11,1.8682,2.1153,1.9057,2.6318
2025-06-12,1.8622,2.097,1.9008,2.6286
2025-06-13,1.8561,2.0766,1.8959,2.6253
2025-06-16,1.8499,2.0544,1.8911,2.6221
2025-06-17,1.8438,2.0308,1.8863,2.6187
2025-06-18,1.8376,2.0063,1.8816,2.6154
2025-06-19,1.8313,1.9813,1.8769,2.6119
2025-06-20,1.8251,1.9939,1.8722,2.6085
2025-06-23,1.8188,2.0059,1.8676,2.605
2025-06-24,1.8126,2.017,1.8631,2.6015
2025-06-25,1.8063,2.0268,1.8586,2.5979
2025-06-26,1.8,2.0349,1.8541,2.5943
2025-06-27,1.7937,2.0408,1.8497,2.5907
2025-06-30,1.7874,2.0444,1.8454,2.5871
2025-07-01,1.7812,2.0453,1.8412,2.5834
2025-07-02,1.7749,2.0434,1.837,2.5797
2025-07-03,1.7687,2.0387,1.8329,2.576
2025-07-04,1.7624,2.031,1.8288,2.5723
2025-07-07,1.7562,2.0204,1.8249,2.5686
2025-07-08,1.7501,2.007,1.821,2.5648
2025-07-09,1.7439,1.991,1.8172,2.5611
2025-07-10,1.7378,1.9727,1.8135,2.5573
2025-07-11,1.7318,1.9523,1.8098,2.5535
2025-07-14,1.7257,1.9302,1.8063,2.5498
2025-07-15,1.7198,1.9068,1.8029,2.546
2025-07-16,1.7138,1.8826,1.7995,2.5422
2025-07-17,1.708,1.858,1.7962,2.5385
2025-07-18,1.7022,1.8709,1.7931,2.5347
2025-07-21,1.6964,1.8835,1.79,2.531
2025-07-22,1.6907,1.8952,1.787,2.5272
2025-07-23,1.6851,1.9056,1.7842,2.5235
2025-07-24,1.6796,1.9144,1.7814,2.5198
2025-07-25,1.6741,1.9212,1.7788,2.5161
2025-07-28,1.6687,1.9256,1.7762,2.5125
2025-07-29,1.6634,1.9275,1.7738,2.5088
2025-07-30,1.6582,1.9267,1.7715,2.5052
2025-07-31,1.6531,1.9231,1.7693,2.5016
2025-08-01,1.648,1.9165,1.7672,2.4981
2025-08-04,1.6431,1.9072,1.7652,2.4946
2025-08-05,1.6382,1.8952,1.7633,2.4911
2025-08-06,1.6335,1.8806,1.7616,2.4876
2025-08-07,1.6289,1.8637,1.76,2.4842
2025-08-08,1.6243,1.8449,1.7584,2.4809
2025-08-11,1.6199,1.8244,1.7571,2.4775
2025-08-12,1.6156,1.8027,1.7558,2.4743
2025-08-13,1.6114,1.7802,1.7547,2.471
2025-08-14,1.6074,1.7574,1.7536,2.4678
2025-08-15,1.6034,1.7722,1.7527,2.4647
2025-08-18,1.5996,1.7867,1.752,2.4616
2025-08-19,1.5959,1.8004,1.7513,2.4586
2025-08-20,1.5924,1.8129,1.7508,2.4557
2025-08-21,1.5889,1.8238,1.7504,2.4528
2025-08-22,1.5856,1.8327,1.7502,2.4499
2025-08-25,1.5825,1.8394,1.75,2.4471
2025-08-26,1.5794,1.8436,1.75,2.4444
2025-08-27,1.5765,1.8451,1.7501,2.4418
2025-08-28,1.5738,1.8438,1.7504,2.4392
2025-08-29,1.5712,1.8397,1.7507,2.4367
2025-09-01,1.5687,1.8329,1.7512,2.4343
2025-09-02,1.5664,1.8233,1.7518,2.4319
2025-09-03,1.5643,1.8113,1.7526,2.4296
2025-09-04,1.5622,1.7971,1.7534,2.4274
2025-09-05,1.5604,1.7809,1.7544,2.4253
2025-09-08,1.5587,1.7631,1.7555,2.4232
2025-09-09,1.5571,1.7442,1.7568,2.4212
2025-09-10,1.5557,1.7245,1.7581,2.4194
2025-09-11,1.5544,1.7044,1.7596,2.4175
2025-09-12,1.5533,1.7221,1.7612,2.4158
2025-09-15,1.5524,1.7395,1.7629,2.4142
2025-09-16,1.5516,1.7561,1.7648,2.4126
2025-09-17,1.551,1.7715,1.7667,2.4111
2025-09-18,1.5505,1.7853,1.7688,2.4098
2025-09-19,1.5502,1.7973,1.771,2.4085
2025-09-22,1.55,1.8069,1.7733,2.4073
2025-09-23,1.55,1.8141,1.7757,2.4062
2025-09-24,1.5502,1.8187,1.7782,2.4051
2025-09-25,1.5505,1.8205,1.7809,2.4042
2025-09-26,1.551,1.8195,1.7836,2.4034
2025-09-29,1.5516,1.8157,1.7864,2.4026
2025-09-30,1.5524,1.8093,1.7894,2.402
2025-10-01,1.5533,1.8004,1.7924,2.4014
2025-10-02,1.5544,1.7893,1.7956,2.4009
2025-10-03,1.5557,1.7762,1.7988,2.4006
2025-10-06,1.5571,1.7616,1.8021,2.4003
2025-10-07,1.5587,1.7457,1.8056,2.4001
2025-10-08,1.5604,1.7291,1.8091,2.4
2025-10-09,1.5622,1.7122,1.8127,2.4
2025-10-10,1.5643,1.733,1.8164,2.4001
2025-10-13,1.5664,1.7535,1.8202,2.4003
2025-10-14,1.5687,1.7732,1.824,2.4006
2025-10-15,1.5712,1.7917,1.828,2.401
2025-10-16,1.5738,1.8086,1.832,2.4015
2025-10-17,1.5765,1.8236,1.8361,2.402
2025-10-20,1.5794,1.8363,1.8403,2.4027
2025-10-21,1.5825,1.8466,1.8445,2.4035
2025-10-22,1.5856,1.8541,1.8488,2.4043
2025-10-23,1.5889,1.8589,1.8532,2.4053
2025-10-24,1.5924,1.8609,1.8576,2.4063
2025-10-27,1.5959,1.86,1.8621,2.4074
2025-10-28,1.5996,1.8565,1.8666,2.4086
2025-10-29,1.6034,1.8505,1.8712,2.4099
2025-10-30,1.6074,1.8422,1.8759,2.4113
2025-10-31,1.6114,1.832,1.8806,2.4128
2025-11-03,1.6156,1.8201,1.8853,2.4144
2025-11-04,1.6199,1.807,1.8901,2.416
2025-11-05,1.6243,1.7931,1.8949,2.4178
2025-11-06,1.6289,1.7789,1.8997,2.4196
2025-11-07,1.6335,1.8023,1.9046,2.4215
2025-11-10,1.6382,1.8253,1.9095,2.4235
2025-11-11,1.6431,1.8476,1.9145,2.4255
2025-11-12,1.648,1.8686,1.9194,2.4277
2025-11-13,1.6531,1.8879,1.9244,2.4299
2025-11-14,1.6582,1.9053,1.9294,2.4322
2025-11-17,1.6634,1.9203,1.9344,2.4346
2025-11-18,1.6687,1.9328,1.9394,2.437
2025-11-19,1.6741,1.9426,1.9444,2.4395
2025-11-20,1.6796,1.9496,1.9495,2.4421
2025-11-21,1.6851,1.9536,1.9545,2.4448
2025-11-24,1.6907,1.9548,1.9595,2.4475
2025-11-25,1.6964,1.9533,1.9645,2.4503
2025-11-26,1.7022,1.9492,1.9695,2.4531
2025-11-27,1.708,1.9428,1.9745,2.456
2025-11-28,1.7138,1.9344,1.9795,2.459
2025-12-01,1.7198,1.9242,1.9845,2.462
2025-12-02,1.7257,1.9128,1.9894,2.4651
2025-12-03,1.7318,1.9005,1.9943,2.4682
2025-12-04,1.7378,1.8878,1.9992,2.4714
2025-12-05,1.7439,1.9127,2.0041,2.4747
2025-12-08,1.7501,1.9372,2.0089,2.4779
2025-12-09,1.7562,1.9607,2.0137,2.4813
2025-12-10,1.7624,1.983,2.0184,2.4846
2025-12-11,1.7687,2.0035,2.0231,2.4881
2025-12-12,1.7749,2.022,2.0278,2.4915
2025-12-15,1.7812,2.0381,2.0324,2.495
2025-12-16,1.7874,2.0516,2.0369,2.4985
2025-12-17,1.7937,2.0622,2.0414,2.5021
